Name,Country,City / HQ,Founded,Category,Customer Focus,Revenue Tier,Revenue,EBITDA,Investment,Gov-linked,Product / Tool,Pricing,Website,News / Blog,Notes,Comments
Outpost24,Sweden,Karlskrona,2001,PenTest/AppSec,"Enterprise, SMB",$50 M – $200 M,"SEK 527M (~$50M, FY2023, +9% YoY); SEK 442M (FY2022); ~SEK 600M (FY2024 est.)",Negative (investment phase),"PE: Vitruvian Partners (majority buyout 2022, follow-on Dec 2025); offices across EU",,OUTSCAN NX (VM scanner) + EASM platform + CyberFlex (EASM + PTaaS),"Custom / contact sales (modular, per asset)",https://outpost24.com,https://outpost24.com/about/news/,Only European vendor named Overall Leader in KuppingerCole 2025 ASM Leadership Compass; CyberFlex integrates EASM + PTaaS; Challenger in GigaOm 2025 PTaaS Radar; acquired Specops 2023; 200+ employees,
ImmuniWeb,Switzerland,Geneva,2019,PenTest/AppSec,"Enterprise, SMB",< $50 M / Undisclosed,"$10.3M (FY2024, confirmed — Latka CEO interview); $6.6M (FY2023); +56% YoY in FY2024",Profitable; cashflow positive since inception,Private; self-funded; no VC,,ImmuniWeb Neuron (AI scanner) + On-Demand (AI-powered pentest) + Discovery (ASM),Free community scan; paid plans per engagement / custom subscription,https://www.immuniweb.com,https://www.immuniweb.com/blog/,"AI + human hybrid AppSec: Neuron ML scanner with zero false-positive SLA; covers web, mobile, API, cloud, network; Discovery: OSINT-based ASM + dark web monitoring; first Swiss company to achieve CWE certification; 1,000+ customers",
AppCheck,UK,Newcastle upon Tyne,2014,PenTest/AppSec,"Enterprise, SMB",< $50 M / Undisclosed,Not disclosed,Not disclosed,Part of Claranet Group (large UK MSP/security group),,"AppCheck Vulnerability Scanner (DAST — web, APIs, networks, cloud)",Custom / contact sales,https://appcheck-ng.com,https://appcheck-ng.com/security-blog/,UK-built DAST scanner; browser-based crawling; GoScript custom language for complex user journeys; CVE Numbering Authority (CNA); originated as internal pentest tool at SEC-1/Claranet,
CybSafe,UK,London,2017,PenTest/AppSec,"Enterprise, Financial Services",< $50 M / Undisclosed,"$11.5 M (FY2024, +50% YoY)",Pre-profit,"~$40 M total; Series B: $28 M (Jun 2022, Evolution Equity Partners lead); co-investors: IQ Capital, Hannover Digital Investments (HDI)",,CybSafe Behavioral Security Platform — AI-driven phishing simulation + behavioral risk scoring + adaptive security training,Custom / contact sales (per seat/yr),https://www.cybsafe.com,https://www.cybsafe.com/press-releases/,"Behavioral science + AI platform measuring and reducing human cyber risk; 350+ customers; clients: Credit Suisse, Barclays, HSBC, FNZ Group, Moody's; unique behavioral risk scoring via SebDB (Security Behavior Database) — correlates training outcomes with actual security incident reduction; strong financial services penetration; 50% revenue growth FY2024",
Darktrace,UK,Cambridge,2013,Defense/Endpoint,"Enterprise, Mid-market",$1 B – $5 B,"~$782M (FY Jun 2024, +51%)",Improving,"Acquired by Thoma Bravo for $5.3B (closed Oct 1, 2024); now private; delisted from LSE",,Darktrace ActiveAI Security Platform — self-learning AI threat detection + autonomous response,,https://darktrace.com,https://darktrace.com/news/,"Pioneer of AI-driven cybersecurity using self-learning AI (inspired by human immune system); PREVENT + DETECT + RESPOND modules; acquired by Thoma Bravo $5.3B (Oct 1, 2024); 9,000+ customers across 110 countries; Cambridge University spinout; CEO Jill Popelka succeeded Poppy Gustafsson",
Intruder.io,UK,London,2015,PenTest/AppSec,"Enterprise, SMB",< $50 M / Undisclosed,$16.1M ARR (FY2024); enterprise ARR +81% YoY (FY2025),Not disclosed,~$1.5 M raised; lean/profitable growth; GCHQ Cyber Accelerator alumni,,Intruder Vulnerability Scanner + Attack Surface Monitoring,Essential $149/mo; Cloud $299/mo; Pro $499/mo; Enterprise custom,https://www.intruder.io,https://www.intruder.io/research,"Cloud-based automated vulnerability scanner + ASM; 140,000+ weakness checks; 3,000+ customers; #1 Deloitte UK Tech Fast 50 cybersecurity company 2023; fastest threat scans within hours of new CVEs",
Mindgard,UK,London,2022,PenTest/AppSec,Enterprise,< $50 M / Undisclosed,Not disclosed (early revenue stage),Pre-profit,"$11.6 M total — $8 M Series A (Dec 2024, .406 Ventures); Lancaster University spinout",,Mindgard DAST-AI — continuous automated red teaming for LLMs and AI agents,Custom / contact sales,https://mindgard.ai,https://mindgard.ai/blog,"DAST for AI: continuously red-teams LLMs, AI agents, and multimodal models; 10+ years of academic AI security research commercialized; UK Most Innovative Cyber SME 2024; offices in London and Boston",
NCC Group,UK,Manchester,1999,PenTest/AppSec,"Enterprise, Government, Financial",$1 B – $5 B,"£293.9M (~$312M, FY Sep 2025; -2.6% YoY)",Listed on LSE,Public (LSE: NCC),,NCC Group — specialist security research + pentest + consulting + managed services,,https://www.nccgroup.com,https://www.nccgroup.com/newsroom/,"UK's largest specialist cybersecurity consultancy; deep security research capabilities; Fox-IT subsidiary (advanced threat intelligence, Dutch government work); pentest services for FTSE 100, financial institutions, government; LSE-listed; offices globally",
PortSwigger,UK,"Knutsford, Cheshire",2004,PenTest/AppSec,"Enterprise, SMB, Security professionals",$50 M – $200 M,"£35.9M (~$46M, FY2023, +21% YoY); £29.7M (FY2022); ~£43M (FY2024 est.)",Profitable; £10.2M post-tax profit FY2023; £8M dividend paid,"$112M PE round (Jun 2024, Brighton Park Capital); previously bootstrapped by founder Dafydd Stuttard",,Burp Suite Professional + Enterprise Edition,"Free Community edition; Pro $499/user/yr (raised from $449, Jan 2026); Enterprise DAST from ~$6,850/yr",https://portswigger.net,https://portswigger.net/blog,"World's #1 web application penetration testing tool, used in 95%+ of professional web pentests globally; Burp Suite Enterprise for automated DevSecOps scanning at scale; Web Security Academy free training; millions of users worldwide",
Sophos,UK,"Abingdon, Oxfordshire",1985,Defense/Endpoint,"Enterprise, SMB",$200 M – $1 B,~$800M (FY2024),Not disclosed,PE: Thoma Bravo (2019),,Sophos Central — XDR + MDR + Endpoint + Firewall + Email + Cloud Security,,https://www.sophos.com,https://www.sophos.com/en-us/press-office,"UK cybersecurity vendor focused on SMB and mid-market via MSP channel; Sophos MDR is world's largest MDR service by customer count; acquired by Thoma Bravo 2019; 600,000+ organizations protected across 150+ countries; strong partner ecosystem",
Tracebit,UK,London,2023,PenTest/AppSec,Enterprise,< $50 M / Undisclosed,Not disclosed (early revenue stage),Pre-profit,"$25 M total — $5 M Seed (Accel, 2024) + $20 M Series A (FirstMark, 2025); also MMC Ventures, Tapestry VC, CCL",,Tracebit — cloud-native deception / canary platform for attacker detection,Custom / contact sales,https://tracebit.com,https://tracebit.com/blog,"Automatically deploys high-fidelity canaries (fake AWS tokens, SSH keys, browser cookies, LLM canaries, password manager credentials) across cloud environments; when attackers interact, real-time alerts fire; detects third-party red team exercises against production; founded by ex-Tessian engineers Andy Smith and Sam Cox",
FireCompass,USA/India,"San Francisco, CA",2018,BAS/CTEM,"Enterprise, Government",$50 M – $200 M,Not disclosed,Not disclosed,"VC Series A raised; India-origin; global CART play; backed by SeedFund, Emergent Ventures",,FireCompass CART Platform — Continuous Automated Red Teaming + EASM + attack surface validation,Custom / contact sales (enterprise),https://www.firecompass.com,https://www.firecompass.com/blog/,"Continuous Automated Red Teaming (CART) + EASM platform; autonomously discovers attack surface and conducts multi-vector, multi-stage attack simulations; covers external + internal + application layers; strong US federal and enterprise presence; India R&D center; differentiated by multi-step attack path chaining vs. point BAS tools",
Picus Security,USA/Turkey,Ankara (R&D) / San Jose (HQ),2013,BAS/CTEM,"Enterprise, Mid-market",$50 M – $200 M,~$20–30M ARR (est.),Not disclosed,"VC; $45M Series B (2022); investors: Earlybird Digital East, Mithril Capital",,Picus Security Control Validation Platform — BAS + threat-centric exposure validation,Custom / contact sales (enterprise + mid-market; per-threat-scenario),https://www.picussecurity.com,https://www.picussecurity.com/blog,"European and US BAS vendor with strong MITRE ATT&CK alignment; Picus Complete Security Control Validation: simulates real threats across endpoint, network, email, cloud; threat library of 10,000+ attack actions; strong EU enterprise presence; Gartner Peer Insights 4.7/5 (BAS); $45M Series B; mid-market accessible vs. SafeBreach/AttackIQ",
Snyk,USA/UK,London (EU HQ),2015,PenTest/AppSec,"Enterprise, Developers",$200 M – $1 B,"$278M invoiced revenue (FY2024, +26% YoY); $300M+ ARR (Dec 2024); $13B valuation (Series G)",Pre-profit (targeting 2026 IPO),"VC $530M+ raised (Coatue, Tiger Global, Goldman Sachs, Atlassian Ventures); Series G; CEO targeting 2026 IPO",,Snyk Code (SAST) + Snyk Open Source (SCA) + Snyk API & Web (DAST),"Free (10 devs, limited); Team $25/dev/mo; Enterprise custom",https://snyk.io,https://snyk.io/blog/,Developer-first full-stack AppSec; DAST added via acquisition of Portuguese startup Probely (Nov 2024); Snyk Code SAST crossed $100M ARR Oct 2024; 3M+ developers; partnership with SentinelOne on AI agent security (Mar 2026),
AISLE,USA,San Francisco,2024,PenTest/AppSec,"Enterprise, Developer teams",< $50 M / Undisclosed,Not disclosed (early stage),Pre-profit,"Angel round (Oct 2025, undisclosed); investors: Jeff Dean (Google DeepMind), Thomas Wolf (Hugging Face), Olivier Pomel (Datadog co-founder), Aparna Chennapragada (Microsoft CPO AI)",,"AISLE Cyber Reasoning System (CRS) — AI-native application vulnerability discovery, triage, and autonomous patch generation",Not disclosed / contact sales (early access),https://aisle.com,https://aisle.com/blog,"Founded by Ondrej Vlcek (fmr CEO of Avast), Jaya Baloo (fmr CSO at Rapid7), and Stanislav Fort (fmr DeepMind/Anthropic); emerged from stealth Oct 2025; AI reasoning system autonomously identifies known and zero-day application vulnerabilities then generates ready-to-merge patches; in first weeks found 100+ new vulnerabilities across Linux kernel, OpenSSL, cURL, Apache stack; Jan 2026: discovered 12 previously unknown OpenSSL vulnerabilities incl. high-severity RCE flaw; strong Czech founding DNA (Vlcek)",
Abnormal AI,USA,"San Francisco, CA",2018,Defense/Endpoint,Enterprise,$1 B – $5 B,"$200M+ ARR; 1,000+ employees",Not disclosed,"VC; $250M Series D (Aug 2024, $5.1B valuation); Greylock, Insight Partners",,Abnormal AI Security Platform — AI-native email security + behavioral AI + account takeover prevention,,https://abnormal.ai,https://abnormal.ai/about/news,"Leading AI-native email security; behavioral AI detects BEC, phishing, account takeover attacks that bypass traditional filters; Gartner MQ Leader Email Security 2025; 17% of Fortune 500 customers; rebranded from Abnormal Security to Abnormal AI; $200M+ ARR; $5.1B valuation",
Arctic Wolf,USA,"Eden Prairie, MN",2012,Defense/MDR,"SMB, Mid-market",$200 M – $1 B,~$400M ARR (est.),Not disclosed,"VC; raised $401M (Series F 2021, $4.3B valuation); Viking, Owl Rock",,Arctic Wolf Security Operations Cloud — 24/7 MDR + Managed Risk + Managed Security Awareness,,https://arcticwolf.com,https://arcticwolf.com/resources/category/press-releases/,"Leading MDR for SMB and mid-market; concierge security operations model with dedicated ""Security Operations Advisors"" per customer; Managed Risk for vulnerability management; 5,000+ customers; strongest MDR growth in North America",
AttackIQ,USA,"San Diego, CA",2013,BAS/CTEM,"Enterprise, Government",$200 M – $1 B,~$50M ARR (est.),Not disclosed,"VC; $44M raised; investors: Atlantic Bridge, Index Ventures, Salesforce Ventures",,AttackIQ Security Optimization Platform — automated BAS + MITRE ATT&CK validation,Custom / contact sales (enterprise-only; MITRE ATT&CK framework licensing),https://www.attackiq.com,https://www.attackiq.com/blog/,"Market leader in BAS aligned to MITRE ATT&CK framework; AttackIQ Academy is free training platform with 400K+ users; deep partner ecosystem with CrowdStrike (Breach Response partner), Microsoft (MISA member), Palo Alto; continuous automated adversary emulation; enterprise and US federal government focus; no SMB pricing",
Bugcrowd,USA,"San Francisco, CA",2012,PenTest/PTaaS,"Enterprise, Mid-market",$50 M – $200 M,~$50–80M ARR (est.),Not disclosed,"VC; raised $80M+ (Series D 2023); Rally Ventures, Blackbird Ventures",,Bugcrowd Platform — bug bounty + VDP + PTaaS + Attack Surface Management,,https://www.bugcrowd.com,https://www.bugcrowd.com/news/,"Crowdsourced security testing; 250,000+ registered security researchers; 500+ customers; strong in mid-market and technology companies; competes directly with HackerOne; Series D 2023",
Claroty,USA,"New York, NY",2015,Defense/Endpoint,"Enterprise, OT/ICS/Healthcare",$1 B – $5 B,Not public,Not disclosed,"VC; $150M Series F (Jan 2026, $3B valuation); $890M total raised; Bessemer, Rockwell Automation",,Claroty xDome — OT/IoT/IoMT cybersecurity visibility + risk management + threat detection,,https://claroty.com,https://claroty.com/company/news,"Leader in cyber-physical systems (CPS) security covering OT, IoT, and medical devices; $3B valuation (Jan 2026); $890M total raised; Rockwell Automation partnership (750+ manufacturing plants); expanding into US Intelligence Community; 125 countries",
Cobalt.io,USA,"San Francisco, CA",2013,PenTest/PTaaS,"Enterprise, SMB",$50 M – $200 M,~$30–50M ARR (est.),Not disclosed,"VC; $29M Series B (2021); Accel, BoldStart; Danish co-founders",,Cobalt Platform — PTaaS + agile pentest management + integrations,,https://www.cobalt.io,https://www.cobalt.io/press-release,"Pentest as a Service platform; integrates with Jira, GitHub, Azure DevOps; 1,000+ security researchers (Cobalt Core); per-pentest pricing model; strong developer-focused approach; Danish-founded, US-headquartered",
CrowdStrike,USA,"Austin, TX",2011,Defense/Endpoint,"Enterprise, Government",> $5 B,"$3.954B (FY2025, +29% YoY); $4.24B ARR",Adj. EBITDA expanding; 27% CAGR projected,"Public (NASDAQ: CRWD); acquired SGNL ($740M, Jan 2026)",,Falcon Platform — cloud-native XDR + EDR + Threat Intel + Identity Protection,,https://www.crowdstrike.com,https://www.crowdstrike.com/news/,"World's leading cloud-native cybersecurity platform; 24,000+ customers; Falcon platform unifies EDR, XDR, SIEM, identity protection, threat intelligence; caused global IT outage Jul 2024 (Falcon sensor bug) but recovered strongly; acquired SGNL ($740M) Jan 2026; $4.24B ARR",
CyCognito,USA,"Palo Alto, CA",2017,BAS/CTEM,"Enterprise, Mid-market",$200 M – $1 B,~$30–50M ARR (est.),Not disclosed,"VC; $100M+ raised (Series C $52M, 2021); investors: Lightspeed Venture Partners, Citi Ventures, Georgian, Coatue",,CyCognito Platform — External Attack Surface Management (EASM) + automated security testing,Custom / contact sales (per attack surface asset count),https://www.cycognito.com,https://www.cycognito.com/blog/,"External attack surface discovery + automated security testing in one platform; discovers unknown assets across cloud, on-prem, subsidiary networks then continuously tests them; strong SMB-to-enterprise range; closest US analogue to Velgard's perimeter agent concept; $100M+ raised; customers: Colgate-Palmolive, ABN AMRO, Priceline",
Fortinet,USA,"Sunnyvale, CA",2000,Defense/Endpoint,"Enterprise, SMB",> $5 B,$6.68–6.83B revenue guidance FY2025,High margins,Public (NASDAQ: FTNT); acquired Lacework (Aug 2024),,FortiGate (NGFW) + FortiSOC + FortiXDR + FortiSASE + Security Fabric,,https://www.fortinet.com,https://www.fortinet.com/corporate/about-us/newsroom/press-releases,"World's largest firewall vendor; Security Fabric integrates NGFW, SASE, SD-WAN, endpoint, cloud security; acquired Lacework cloud security startup (Aug 2024) at significant discount from $8.3B peak valuation; strong SMB and MSSP market via channel",
HackerOne,USA,"San Francisco, CA",2012,PenTest/PTaaS,"Enterprise, Government",$50 M – $200 M,Not public,Not disclosed,"VC; raised $159.7M total (Series E $49M, Jan 2022); Benchmark, NEA, Dragoneer",Yes,HackerOne Platform — bug bounty + VDP + PTaaS + Attack Resistance Management,,https://www.hackerone.com,https://www.hackerone.com/press,"World's largest bug bounty and vulnerability coordination platform; 3,000+ customers; $300M+ in bounties paid; runs US government bug bounties (Hack the Pentagon, Hack the Air Force); 1M+ registered security researchers worldwide",
Hacktron AI,USA,"San Francisco, CA",2023,PenTest/AppSec,"SMB, Engineering teams",< $50 M / Undisclosed,Not disclosed (private beta),Not disclosed,Early-stage / seed (not disclosed),,Hacktron AI — AI-powered automated application security testing,,https://www.hacktron.ai,https://www.hacktron.ai/blog,"Early-stage AI pentest platform in private beta; clients include Perplexity, Supabase, Lovable, Windsurf, Gumroad; targets engineering teams wanting continuous automated application security testing without dedicated security staff",
Horizon3.ai,USA,"San Francisco, CA",2019,PenTest/AppSec,"Enterprise, Federal",$50 M – $200 M,Not disclosed,Not disclosed,"VC; $100M Series D (Jun 2025, NEA); 5,200+ customers (Q1 2026); 102% YoY ARR growth; 2,900% revenue growth since 2021",,NodeZero — autonomous pentesting platform for continuous network security validation,,https://www.horizon3.ai,https://www.horizon3.ai/news/,"NodeZero autonomously discovers and chains exploitable vulnerabilities to prove real attack paths; no agents required; 5,200+ customers (Q1 2026; up from 3,000 at Series C); 102% YoY ARR growth; 150,000+ autonomous pentests conducted; 2,900% revenue growth since 2021; $100M Series D (Jun 2025); strong US federal and enterprise market",
Huntress,USA,"Columbia, MD",2015,Defense/Endpoint,"SMB, MSP Channel",$50 M – $200 M,~$100M ARR (est.),Not disclosed,VC; $100M+ Series C (2023),,Huntress Security Platform — managed EDR + MDR + ITDR for SMBs via MSP channel,,https://www.huntress.com,https://www.huntress.com/blog,"MDR and managed EDR specifically designed for SMBs via the MSP channel; SOC team of 100+ analysts provides 24/7 human-backed monitoring; acquired Curricula (security awareness) 2022; strong focus on the underserved SMB market; ~120,000 SMBs protected",
NetSPI,USA,"Minneapolis, MN",2001,PenTest/PTaaS,"Enterprise, Financial",$50 M – $200 M,~$75M ARR (est.),Not disclosed,PE: KKR investment (2022),,NetSPI Resolve — PTaaS + automated continuous pentesting + Attack Surface Management,,https://www.netspi.com,https://www.netspi.com/news/,"Managed pentest as a service; own Resolve platform for continuous testing and remediation tracking; specializes in financial services, healthcare, and retail; KKR-backed; strong manual + automated hybrid approach",
Palo Alto Networks,USA,"Santa Clara, CA",2005,Defense/Endpoint,"Enterprise, Government",> $5 B,$5.6B NGS ARR (+32% YoY); $15.8B RPO,Adj. EBITDA CAGR ~17%,"Public (NASDAQ: PANW); acquired CyberArk $25B (closed Feb 11, 2026)",,Cortex XDR/XSIAM + Prisma Cloud + Strata Network Security,,https://www.paloaltonetworks.com,https://www.paloaltonetworks.com/company/press,"World's second largest pure-play cybersecurity company; platformization strategy bundles SASE, cloud security, SOC automation; acquired CyberArk for $25B (Feb 2026) adding identity/PAM leadership; $5.6B NGS ARR",
Qualys,USA,"Foster City, CA",1999,PenTest/AppSec,"Enterprise, SMB",$200 M – $1 B,"$607.6M (FY2024, +10% YoY)",Adj. EBITDA ~47%,Public (NASDAQ: QLYS),,Qualys VMDR + Web Application Scanning + Cybersecurity Asset Management,,https://www.qualys.com,https://www.qualys.com/company/newsroom/,"Cloud-native vulnerability management; one of the first SaaS security companies; 10,000+ customers; very high profitability (~47% EBITDA); VMDR integrates VM + detection + response; government and enterprise focus",
Rapid7,USA,"Boston, MA",2000,PenTest/AppSec,"Enterprise, Mid-market",$200 M – $1 B,"$844M (FY2024, +9% YoY)",$150M+ free cash flow,"Public (NASDAQ: RPD); acquired Kenzo Security (agentic AI SIEM, Mar 2026)",,InsightVM (VM) + InsightAppSec (DAST) + Metasploit Framework,,https://www.rapid7.com,https://www.rapid7.com/about/press-releases/,"Rapid7 owns Metasploit, the world's most widely used open-source penetration testing framework; InsightVM for vulnerability management; InsightAppSec for DAST; ~10,000 customers; acquired Kenzo Security for AI SIEM (Mar 2026)",
RunSybil,USA,"San Francisco, CA",2023,PenTest/AppSec,Enterprise,$50 M – $200 M,Not disclosed,Not disclosed,"VC; $40M Series A (Mar 2026, Khosla Ventures + Anthropic Anthology Fund); founded by OpenAI's first security hire + ex-Meta red team",,Sybil — autonomous AI continuous penetration testing against live applications,,https://runsybil.com,https://runsybil.com,"Continuous autonomous pentesting against live apps; founded by Ari Herbert-Voss (OpenAI's first security hire) and Vlad Ionescu (ex-Meta red team); $40M Series A (Khosla Ventures + Anthropic Anthology Fund, Mar 2026) — Anthropic's backing signals AI-native moat; customers: Cursor, Notion; competitor to XBOW and Horizon3.ai",
SafeBreach,USA,"Sunnyvale, CA",2014,BAS/CTEM,Enterprise,$200 M – $1 B,~$50–70M ARR (est.),Not disclosed,"VC; $70M total raised (Series D $19M, 2022); investors: Sequoia, Deutsche Telekom Capital Partners, PayPal Ventures",,SafeBreach BAS Platform — continuous breach & attack simulation across kill chain,Custom / contact sales (enterprise-only; annual platform fee),https://www.safebreach.com,https://www.safebreach.com/blog/,"Pioneer of the Breach & Attack Simulation (BAS) category (founded 2014); simulates full attack kill chain continuously to validate security controls; MITRE ATT&CK aligned; integrates with CrowdStrike, Microsoft, Splunk; enterprise-only; $70M raised; strong US federal and enterprise footprint; no SMB tier",
Secureworks,USA,"Atlanta, GA",1999,Defense/Endpoint,"Enterprise, Mid-market",$200 M – $1 B,~$480M (FY2024),Low-Moderate,Public (NASDAQ: SCWX); majority Dell,,Taegis XDR + MDR — open XDR platform + managed detection and response,,https://www.secureworks.com,https://www.secureworks.com/about/press,"One of the original MSSP/MDR providers; Taegis XDR platform; 4,000+ customers; majority owned by Dell Technologies; pivoting to pure SaaS XDR model; strong government and financial services presence; over 20 years of threat intelligence",
SentinelOne,USA,"Mountain View, CA",2013,Defense/Endpoint,"Enterprise, Mid-market",$200 M – $1 B,~$900M ARR (FY2025 est.),EBITDA turning positive 2025,Public (NYSE: S); partnership with Snyk on AI agent security (Mar 2026),,Singularity Platform — AI-native XDR + EDR + SIEM + Identity + Cloud Security,,https://www.sentinelone.com,https://www.sentinelone.com/press/,"AI-native cybersecurity; Purple AI for SOC automation; 11,000+ customers; significant market share gains post-CrowdStrike outage 2024; partnership with Snyk on AI agent security (Mar 2026); Vigilance MDR service",
Synack,USA,"Redwood City, CA",2013,PenTest/PTaaS,"Enterprise, Government",$50 M – $200 M,~$100M+ ARR (est.),Not disclosed,"VC; Series D ($52M, 2021); Microsoft Ventures, GV (Google), DCVC",Yes,Synack Red Team Platform — elite vetted crowdsourced pentest + AI-powered coordination,,https://www.synack.com,https://www.synack.com/blog/,"Elite crowdsourced pentesting; security researchers vetted to <1% acceptance rate; AI Augmented Continuous Red Teaming; major US DoD contracts; human + AI hybrid approach; customers include US Air Force, DHS, major banks",
Tenable,USA,"Columbia, MD",2002,PenTest/AppSec,"Enterprise, Government",$200 M – $1 B,"$900M (FY2024, +13% YoY); ~$999M TTM 2025",Not disclosed,"Public (NASDAQ: TENB); acquired Vulcan Cyber (~$150M, Q1 2025) + Apex AI risk mgmt ($105M, May 2025)",,Tenable.io + Nessus — vulnerability management + exposure management platform,,https://www.tenable.com,https://www.tenable.com/press-releases,"World's leading vulnerability management platform; owns Nessus scanner; 44,000+ customers including 65% of Fortune 500; expanded into exposure management with Vulcan Cyber + Apex AI acquisitions; major US government presence",
Wiz,USA,"New York, NY",2020,Defense/Endpoint,"Enterprise, Cloud",$1 B – $5 B,~$500M ARR (pre-acquisition),Pre-profit,"Acquired by Google for $32B (closed Mar 11, 2026 — Google's largest-ever acquisition)",,Wiz Cloud Security Platform — CSPM + CWPP + CIEM + CDR + AI security,,https://www.wiz.io,https://www.wiz.io/blog,"Cloud security unicorn acquired by Google for $32B (Mar 2026); agentless cloud security covering CSPM, CWPP, CIEM, CDR across AWS, Azure, GCP; $500M ARR; 40% of Fortune 100 customers; fastest SaaS company to $100M ARR; now part of Google Cloud; directly competed with Orca Security",
XBOW,USA,"Seattle, WA",2022,PenTest/AppSec,"Enterprise, Mid-market",$1 B – $5 B,Not disclosed,Not disclosed,"VC; $237M total ($75M Series B Jun 2025 + $120M Series C Mar 2026, $1B+ unicorn); founded by Oege de Moor (GitHub Copilot creator)",,XBOW AI Pentesting Agent — autonomous vulnerability discovery and exploitation (web applications),,https://xbow.com,https://xbow.com/blog,"AI pentesting agent that autonomously discovers and exploits vulnerabilities; ⚠️ SCOPE: web applications only (HTTP/HTTPS) — does not cover network infra, internal environments, or non-web APIs; founded by Oege de Moor (creator of GitHub Copilot, CodeQL); ranked top on HackerOne leaderboard; customers: Moderna, Samsung; $237M raised B+C; unicorn 2025–2026; leading AI-native autonomous pentest category for web",
Zscaler,USA,"San Jose, CA",2007,Defense/Endpoint,Enterprise,$1 B – $5 B,~$2.6B ARR (FY2025 est.),Improving,Public (NASDAQ: ZS),,Zscaler Zero Trust Exchange — SASE + SSE + ZIA + ZPA + ZTNA,,https://www.zscaler.com,https://www.zscaler.com/company/news-press,"Pioneer and leader in cloud-native Zero Trust and SASE; Zero Trust Exchange processes 400B+ daily transactions; 7,700+ customers; Gartner MQ Leader SSE; replacing traditional VPNs and firewalls with cloud-delivered ZTNA",
Strike,Uruguay,Montevideo,2021,PenTest/PTaaS,"Enterprise, Mid-market",< $50 M / Undisclosed,Not disclosed,Not disclosed,"€16.5M total raised (Greyhound Capital, VentureFriends); MIT collaboration",,Strike Platform — AI-powered crowdsourced pentesting + PTaaS,From ~$999/pentest engagement; bug bounty programs custom,https://www.strike.sh,https://www.strike.sh/blog,AI-powered crowdsourced penetration testing platform combining automated scanning with a vetted global community of security researchers; customers include Delivery Hero and OLX; MIT collaboration on offensive security research; one of the fastest-growing LatAm PTaaS platforms serving EU/US clients; Montevideo-based; founded 2021 by Santiago Rosenblatt,
